"Age"	"Iteration"	"MeanIndividualLength"	"StratumTransfer"	"Quarter"
14	27	29.485989657885	"Transfer.area"	"Q4"
15	27	29.486775362758	"Transfer.area"	"Q4"
1	28	21.918525449348	"Transfer.area"	"Q4"
2	28	24.930354048172	"Transfer.area"	"Q4"
3	28	26.450976914895	"Transfer.area"	"Q4"
4	28	27.232822531914	"Transfer.area"	"Q4"
5	28	27.638134652629	"Transfer.area"	"Q4"
6	28	27.849092384937	"Transfer.area"	"Q4"
7	28	27.959113818863	"Transfer.area"	"Q4"
8	28	28.016553053406	"Transfer.area"	"Q4"
9	28	28.046556606364	"Transfer.area"	"Q4"
10	28	28.062233418304	"Transfer.area"	"Q4"
11	28	0	"Transfer.area"	"Q4"
12	28	0	"Transfer.area"	"Q4"
13	28	28.076944745336	"Transfer.area"	"Q4"
14	28	28.078114224597	"Transfer.area"	"Q4"
15	28	28.078725454347	"Transfer.area"	"Q4"
1	29	21.991927225417	"Transfer.area"	"Q4"
2	29	25.11709918828	"Transfer.area"	"Q4"
3	29	26.688267301653	"Transfer.area"	"Q4"
4	29	27.490777708844	"Transfer.area"	"Q4"
5	29	27.903601828254	"Transfer.area"	"Q4"
6	29	28.11669588567	"Transfer.area"	"Q4"
7	29	28.226881306471	"Transfer.area"	"Q4"
8	29	28.283905201806	"Transfer.area"	"Q4"
9	29	28.313429845972	"Transfer.area"	"Q4"
10	29	28.328720041109	"Transfer.area"	"Q4"
11	29	28.336639460665	"Transfer.area"	"Q4"
12	29	28.340741506999	"Transfer.area"	"Q4"
13	29	0	"Transfer.area"	"Q4"
14	29	28.343966976763	"Transfer.area"	"Q4"
15	29	28.344537117527	"Transfer.area"	"Q4"
1	30	22.608167850893	"Transfer.area"	"Q4"
2	30	25.802848432688	"Transfer.area"	"Q4"
3	30	27.397223020505	"Transfer.area"	"Q4"
4	30	28.205239074009	"Transfer.area"	"Q4"
5	30	28.617548491857	"Transfer.area"	"Q4"
6	30	28.828632015779	"Transfer.area"	"Q4"
7	30	28.936873734152	"Transfer.area"	"Q4"
8	30	28.992424906606	"Transfer.area"	"Q4"
9	30	29.020946527277	"Transfer.area"	"Q4"
10	30	29.035593519754	"Transfer.area"	"Q4"
11	30	29.043116164063	"Transfer.area"	"Q4"
12	30	0	"Transfer.area"	"Q4"
13	30	0	"Transfer.area"	"Q4"
14	30	29.049983995193	"Transfer.area"	"Q4"
15	30	29.050507608835	"Transfer.area"	"Q4"
1	31	22.513896415827	"Transfer.area"	"Q4"
2	31	25.633544966401	"Transfer.area"	"Q4"
3	31	27.204594791513	"Transfer.area"	"Q4"
4	31	28.00970767103	"Transfer.area"	"Q4"
5	31	28.425557351445	"Transfer.area"	"Q4"
6	31	28.641168833003	"Transfer.area"	"Q4"
7	31	28.753174360774	"Transfer.area"	"Q4"
8	31	28.811415840091	"Transfer.area"	"Q4"
9	31	28.841715984899	"Transfer.area"	"Q4"
10	31	28.857483768411	"Transfer.area"	"Q4"
11	31	28.865690223506	"Transfer.area"	"Q4"
12	31	28.869961633113	"Transfer.area"	"Q4"
13	31	0	"Transfer.area"	"Q4"
14	31	28.873342248608	"Transfer.area"	"Q4"
15	31	28.87394465127	"Transfer.area"	"Q4"
1	32	22.2211462453	"Transfer.area"	"Q4"
2	32	25.429758662802	"Transfer.area"	"Q4"
3	32	27.049452807298	"Transfer.area"	"Q4"
4	32	27.879731175828	"Transfer.area"	"Q4"
5	32	28.308295517518	"Transfer.area"	"Q4"
6	32	28.530249537425	"Transfer.area"	"Q4"
7	32	28.645393176165	"Transfer.area"	"Q4"
8	32	28.705177801153	"Transfer.area"	"Q4"
9	32	28.736232758961	"Transfer.area"	"Q4"
10	32	28.752367857408	"Transfer.area"	"Q4"
11	32	28.76075209822	"Transfer.area"	"Q4"
12	32	28.765109048166	"Transfer.area"	"Q4"
13	32	0	"Transfer.area"	"Q4"
14	32	28.768549921981	"Transfer.area"	"Q4"
15	32	28.769161425287	"Transfer.area"	"Q4"
1	33	22.436827648026	"Transfer.area"	"Q4"
2	33	25.425254542849	"Transfer.area"	"Q4"
3	33	26.970213540419	"Transfer.area"	"Q4"
4	33	27.787142530375	"Transfer.area"	"Q4"
5	33	28.223627354808	"Transfer.area"	"Q4"
6	33	28.458055386148	"Transfer.area"	"Q4"
7	33	28.584301944952	"Transfer.area"	"Q4"
8	33	0	"Transfer.area"	"Q4"
9	33	28.689132061837	"Transfer.area"	"Q4"
10	33	28.70897207625	"Transfer.area"	"Q4"
11	33	28.719686605478	"Transfer.area"	"Q4"
12	33	28.725473634462	"Transfer.area"	"Q4"
13	33	0	"Transfer.area"	"Q4"
14	33	28.730287931094	"Transfer.area"	"Q4"
15	33	28.731199993864	"Transfer.area"	"Q4"
1	34	22.003884253698	"Transfer.area"	"Q4"
2	34	24.926536018253	"Transfer.area"	"Q4"
3	34	26.453656382436	"Transfer.area"	"Q4"
4	34	27.270888864575	"Transfer.area"	"Q4"
5	34	27.713118123659	"Transfer.area"	"Q4"
6	34	27.95376813751	"Transfer.area"	"Q4"
7	34	28.085109764711	"Transfer.area"	"Q4"
8	34	28.156906195778	"Transfer.area"	"Q4"
9	34	28.196186355234	"Transfer.area"	"Q4"
10	34	28.217686671335	"Transfer.area"	"Q4"
11	34	28.229458020396	"Transfer.area"	"Q4"
12	34	28.235903684021	"Transfer.area"	"Q4"
13	34	0	"Transfer.area"	"Q4"
14	34	28.24136642689	"Transfer.area"	"Q4"
15	34	28.242425037118	"Transfer.area"	"Q4"
1	35	23.107926639236	"Transfer.area"	"Q4"
2	35	26.263786073346	"Transfer.area"	"Q4"
3	35	27.887998220016	"Transfer.area"	"Q4"
4	35	28.741397993785	"Transfer.area"	"Q4"
5	35	29.194070970701	"Transfer.area"	"Q4"
6	35	29.435317907761	"Transfer.area"	"Q4"
7	35	29.56419987566	"Transfer.area"	"Q4"
8	35	29.633140474886	"Transfer.area"	"Q4"
9	35	29.670042542424	"Transfer.area"	"Q4"
10	35	29.689802329026	"Transfer.area"	"Q4"
11	35	0	"Transfer.area"	"Q4"
12	35	29.70605338938	"Transfer.area"	"Q4"
13	35	0	"Transfer.area"	"Q4"
14	35	29.710716083809	"Transfer.area"	"Q4"
15	35	29.711587324629	"Transfer.area"	"Q4"
1	36	22.716538159955	"Transfer.area"	"Q4"
2	36	25.858261821521	"Transfer.area"	"Q4"
3	36	27.473476762347	"Transfer.area"	"Q4"
4	36	28.320554311935	"Transfer.area"	"Q4"
5	36	28.768854478169	"Transfer.area"	"Q4"
6	36	29.007180645024	"Transfer.area"	"Q4"
7	36	29.134173709109	"Transfer.area"	"Q4"
8	36	29.201924524145	"Transfer.area"	"Q4"
9	36	29.238092745765	"Transfer.area"	"Q4"
10	36	29.257407425348	"Transfer.area"	"Q4"
