"Parameter"	"Mean"	"Variance"	"chainId"
"ProportionAtAgeModel-Stratum:27.4.b:Age:7 Intercept"	-0.0187850643337	0.208852786059	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:7 Intercept"	-0.0231813076581	0.259689891837	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:8 Intercept"	0.168079710553	0.128447045081	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:8 Intercept"	-0.186395603042	0.122178961945	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:8 Intercept"	0.0415498175208	0.217556198064	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:8 Intercept"	0.0108346631595	0.238432731039	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:8 Intercept"	-0.0340685881919	0.264191103283	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:9 Intercept"	0.445339116546	0.156441102864	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:9 Intercept"	-0.451793645336	0.174072840989	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:9 Intercept"	-0.0330126140027	0.24385788911	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:9 Intercept"	-0.0125869546931	0.272983364478	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:9 Intercept"	0.0520540974856	0.26404949049	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:1 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:1 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:1 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:1 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:1 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:2 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:2 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.3.a:Age:2 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.b:Age:2 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.7.j:Age:2 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aE:Age:3 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
"ProportionAtAgeModel-Stratum:27.4.aW:Age:3 tau_Intercept"	8.34453974928	357.022586677445	"C:\Users\Administrator\Documents\temp\ecatest"
