"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
8	43	28.071097287594	"27.4.aE"
9	43	28.288134214787	"27.4.aE"
10	43	28.980590970181	"27.4.aE"
11	43	29.845566170056	"27.4.aE"
12	43	29.134635343004	"27.4.aE"
13	43	30.488344261421	"27.4.aE"
14	43	30.746039211018	"27.4.aE"
15	43	31.12897750958	"27.4.aE"
1	44	22.432901176012	"27.4.aE"
2	44	23.571534328659	"27.4.aE"
3	44	24.966464844472	"27.4.aE"
4	44	26.267100149923	"27.4.aE"
5	44	26.443306520423	"27.4.aE"
6	44	26.951255976532	"27.4.aE"
7	44	27.191885122392	"27.4.aE"
8	44	27.800362885698	"27.4.aE"
9	44	28.853599628894	"27.4.aE"
10	44	29.142239244599	"27.4.aE"
11	44	29.665823041273	"27.4.aE"
12	44	29.623802962844	"27.4.aE"
13	44	31.005566669069	"27.4.aE"
14	44	31.262585844783	"27.4.aE"
15	44	31.504569941325	"27.4.aE"
1	45	22.541140701211	"27.4.aE"
2	45	23.589688699114	"27.4.aE"
3	45	24.945727556352	"27.4.aE"
4	45	26.134333673054	"27.4.aE"
5	45	26.573946141976	"27.4.aE"
6	45	26.797004850066	"27.4.aE"
7	45	27.818934716576	"27.4.aE"
8	45	28.038168895083	"27.4.aE"
9	45	28.523351721629	"27.4.aE"
10	45	29.16821100563	"27.4.aE"
11	45	29.815533777691	"27.4.aE"
12	45	29.537082992083	"27.4.aE"
13	45	30.71076488434	"27.4.aE"
14	45	30.959991809659	"27.4.aE"
15	45	31.208771630281	"27.4.aE"
1	46	23.063306873587	"27.4.aE"
2	46	23.960438897241	"27.4.aE"
3	46	25.114663481642	"27.4.aE"
4	46	25.993127281816	"27.4.aE"
5	46	26.613085798406	"27.4.aE"
6	46	27.025283803072	"27.4.aE"
7	46	27.73924282534	"27.4.aE"
8	46	28.0572338076	"27.4.aE"
9	46	28.848353165618	"27.4.aE"
10	46	29.101207098017	"27.4.aE"
11	46	29.701825329639	"27.4.aE"
12	46	29.525287003256	"27.4.aE"
13	46	30.386523660905	"27.4.aE"
14	46	30.644349277832	"27.4.aE"
15	46	30.891193603446	"27.4.aE"
