"Age"	"Iteration"	"MeanIndividualLength"	"Stratum"
3	43	25.534919543251	"27.4.aE"
4	43	26.701700146631	"27.4.aE"
5	43	27.204247418932	"27.4.aE"
6	43	27.562979716058	"27.4.aE"
7	43	27.724177194568	"27.4.aE"
8	43	28.127038613425	"27.4.aE"
9	43	28.069275506773	"27.4.aE"
10	43	27.995982409444	"27.4.aE"
11	43	27.970740667449	"27.4.aE"
12	43	28.482008926545	"27.4.aE"
13	43	28.839072799588	"27.4.aE"
14	43	28.855739814655	"27.4.aE"
15	43	28.854419477438	"27.4.aE"
1	44	20.333248376151	"27.4.aE"
2	44	23.679148680356	"27.4.aE"
3	44	25.696727051105	"27.4.aE"
4	44	27.035407903471	"27.4.aE"
5	44	27.533816584376	"27.4.aE"
6	44	27.598394026976	"27.4.aE"
7	44	28.003534470658	"27.4.aE"
8	44	28.197062959915	"27.4.aE"
9	44	28.30166873928	"27.4.aE"
10	44	28.528882092119	"27.4.aE"
11	44	28.542330775901	"27.4.aE"
12	44	28.166183811436	"27.4.aE"
13	44	29.112157851299	"27.4.aE"
14	44	29.155876987636	"27.4.aE"
15	44	29.158063449569	"27.4.aE"
1	45	20.622143388969	"27.4.aE"
2	45	23.321910927953	"27.4.aE"
3	45	25.368989344908	"27.4.aE"
4	45	26.606112483772	"27.4.aE"
5	45	27.045204585931	"27.4.aE"
6	45	27.237083385607	"27.4.aE"
7	45	27.626572448764	"27.4.aE"
8	45	27.745438620653	"27.4.aE"
9	45	27.843494735314	"27.4.aE"
10	45	27.908235264673	"27.4.aE"
11	45	28.021496811713	"27.4.aE"
12	45	28.38405078996	"27.4.aE"
13	45	28.409291316728	"27.4.aE"
14	45	28.567309883576	"27.4.aE"
15	45	28.567797630146	"27.4.aE"
1	46	20.416779025849	"27.4.aE"
2	46	23.52810970107	"27.4.aE"
3	46	25.632982952073	"27.4.aE"
4	46	26.912416757099	"27.4.aE"
5	46	27.227177775043	"27.4.aE"
6	46	27.550761328574	"27.4.aE"
7	46	27.651987280204	"27.4.aE"
8	46	27.751341478114	"27.4.aE"
9	46	28.20175729756	"27.4.aE"
10	46	28.221943694966	"27.4.aE"
11	46	27.944952886542	"27.4.aE"
12	46	27.935120972838	"27.4.aE"
13	46	28.607339125903	"27.4.aE"
14	46	28.891878904882	"27.4.aE"
15	46	28.893248419468	"27.4.aE"
